topic_id,video_count,median_views,median_like_rate,top_category,category_mix,topic_label
39,79,37126807.0,0.018642651253648748,gaming,"{'gaming': 71, 'research_science': 2, 'tech': 2, 'fitness': 2, 'food': 1, 'entertainment': 1}",39_minecraft_1000_100 000_000
129,37,8733952.0,0.03205541621421015,gaming,"{'gaming': 36, 'research_science': 1}",129_donations tts_tts donations_donations follow_memberships donations
109,43,8047251.0,0.021819633310355663,entertainment,"{'entertainment': 41, 'gaming': 1, 'research_science': 1}",109_instagram_livestreams_follow instagram_instagram instagram
127,38,7672198.0,0.025950213866707338,entertainment,{'entertainment': 38},127_arcade_50 order_vodka_order
13,190,6773649.0,0.04861858500629003,research_science,"{'research_science': 182, 'tech': 3, 'food': 2, 'entertainment': 1, 'gaming': 1, 'fitness': 1}",13_chemicals_reaction kit_chemical_science chemistry
148,30,6498883.0,0.05386653146428713,entertainment,"{'entertainment': 27, 'fitness': 2, 'tech': 1}",148_claire_anne_dummer kelly_emilee dummer
115,41,6146515.0,0.002204854752208788,fitness,"{'fitness': 39, 'food': 2}",115_gym_olympic_competition_athletes
174,24,5935259.5,0.04145148501945725,entertainment,"{'entertainment': 21, 'gaming': 2, 'tech': 1}",174_guy parody_instagram video_sponsoring video_sponsored hellofresh
271,12,5695662.0,0.03368007239237474,entertainment,"{'entertainment': 11, 'tech': 1}",271_com internethistorian_internethistorian_internet historian_com nethistorian
286,10,4983209.5,0.0430696770524414,research_science,"{'research_science': 8, 'tech': 1, 'entertainment': 1}",286_illusion_illusions_veritasium science_physics veritasium
128,37,4772225.0,0.040219258132783174,research_science,"{'research_science': 35, 'entertainment': 2}",128_voice kurzgesagt_kurzgesagt voice_kurzgesagt_bird army
181,23,4541747.0,0.009366804818509142,gaming,"{'gaming': 21, 'entertainment': 2}",181_furious_chase_beam_high speed
46,70,4534176.5,0.05116533223185464,research_science,{'research_science': 70},46_kurzgesagt voice_voice kurzgesagt_kurzgesagt soundtracks_kurzgesagt
160,28,4346517.0,0.025477094646967274,gaming,"{'gaming': 26, 'entertainment': 1, 'fitness': 1}",160_pokemon_random_sapphire_emerald
152,29,4148123.0,0.03184577536574393,entertainment,"{'entertainment': 27, 'gaming': 2}",152_disturbing_channel_mysteries_tv
119,40,4026992.0,0.03189380416096088,gaming,"{'gaming': 36, 'food': 3, 'entertainment': 1}",119_stream_donations tts_tts donations_channels yt
261,13,3261753.0,0.03411704661627948,gaming,{'gaming': 13},261_ldshadowlady minecraft_smp_minecraft_joel gaming
240,15,3170478.0,0.028708930770214167,research_science,"{'research_science': 12, 'tech': 2, 'gaming': 1}",240_submarine_navy_uss_arctic
161,27,3119761.0,0.034137529949668476,entertainment,"{'entertainment': 25, 'gaming': 1, 'fitness': 1}",161_donated_days_visited_donate
31,89,3016025.0,0.03025339644067937,research_science,"{'research_science': 86, 'tech': 3}",31_smarter day_tweet ideas_support smarter_like camera
141,31,2894295.0,0.030065281298449167,gaming,"{'gaming': 29, 'research_science': 2}",141_minecraft_empires_ldshadowlady minecraft_empire
289,10,2883854.5,0.04499726791696773,research_science,"{'research_science': 9, 'entertainment': 1}",289_drug_drugs_weed_smoking
41,79,2733327.0,0.02562743360040579,research_science,"{'research_science': 77, 'tech': 2}",41_real engineering_engineering_engineering science_hochsprung engineering
179,24,2613786.0,0.02540740838514898,gaming,{'gaming': 24},179_super mario_mario_games_odyssey
282,11,2487669.0,0.030064518923184826,gaming,"{'gaming': 10, 'research_science': 1}",282_empire_schedule_coffee follow_buy coffee
23,123,2470133.0,0.051893980366593984,gaming,"{'gaming': 77, 'entertainment': 40, 'tech': 5, 'research_science': 1}",23_nordvpn deal_exclusive nordvpn_nordvpn_free nord
140,32,2097157.5,0.04093158945481665,gaming,{'gaming': 32},140_ldshadowlady minecraft_new life_wild_joel gaming
188,22,2051045.5,0.031297877862714284,food,"{'food': 15, 'research_science': 5, 'entertainment': 1, 'fitness': 1}",188_egg_eggs_nest_crack
96,46,2002146.5,0.033030345478115196,food,"{'food': 41, 'entertainment': 5}",96_uncle_roger_grandpa_nigel
281,11,1959025.0,0.03930097384890665,gaming,{'gaming': 11},281_poki pokimane_pokimane poki_pokimane lol_pokimane
131,37,1918903.0,0.038145048424787296,research_science,"{'research_science': 36, 'fitness': 1}",131_smarter day_smarter_ideas smarter_smarter section
270,12,1880793.5,0.047755130495933565,research_science,"{'research_science': 8, 'tech': 4}",270_trains_railway_train_routes
278,11,1750861.0,0.02325066745170492,fitness,"{'fitness': 9, 'food': 2}",278_store_gummies_homemade_goods
9,233,1722769.0,0.030459988213802268,research_science,"{'research_science': 203, 'tech': 15, 'entertainment': 6, 'gaming': 6, 'food': 3}",9_infrastructure_practical engineering_engineering_engineer
117,40,1716370.5,0.05065363257553537,gaming,"{'gaming': 39, 'entertainment': 1}",117_hermit_episode 10_10 episode_season 10
143,31,1700278.0,0.03637298299996026,research_science,"{'research_science': 28, 'tech': 2, 'entertainment': 1}",143_bouncing_bounce_animations kyle_physics girl
149,30,1623431.0,0.04653604847190559,entertainment,{'entertainment': 30},149_gaming channel_roblox_starforge_soap
171,25,1589428.0,0.04316142623078723,research_science,"{'research_science': 22, 'food': 1, 'tech': 1, 'entertainment': 1}",171_ice cube_crystals_dry ice_ice
25,114,1267396.5,0.05928561941269257,research_science,"{'research_science': 102, 'tech': 11, 'entertainment': 1}",25_future breakthrough_science camera_science future_scientists
204,19,1238581.0,0.03181864709726695,research_science,{'research_science': 19},204_sun solar_solar_sun_earth solar
170,25,1087269.0,0.05151429988131913,research_science,"{'research_science': 22, 'fitness': 3}",170_support dianna_dianna recovery_dianna_girl dianna
21,135,1052712.0,0.040160657112502704,gaming,"{'gaming': 128, 'entertainment': 3, 'food': 1, 'tech': 1, 'research_science': 1, 'fitness': 1}",21_minecraft funny_minecraft_games minecraft_minecraft movie
254,14,998701.5,0.04065125114165756,research_science,"{'research_science': 13, 'entertainment': 1}",254_asteroid impact_asteroid_asteroids_hit earth
255,14,953170.0,0.07199657106433875,gaming,"{'gaming': 7, 'entertainment': 6, 'tech': 1}",255_iron lung_lung_iron_spider man
284,11,894380.0,0.03505109684921398,research_science,{'research_science': 11},284_interstellar_extraterrestrial_atlas_astrumspace astronomy
207,19,855685.0,0.04378119800332779,entertainment,"{'entertainment': 17, 'food': 1, 'research_science': 1}",207_christmas_best christmas_holiday_holidays
238,15,852113.0,0.019171811233076607,entertainment,{'entertainment': 15},238_rocket_league_ranks_rank
90,48,831386.5,0.03901873402170976,entertainment,"{'entertainment': 47, 'gaming': 1}",90_tv shows_music channel_tv_astro radio
247,14,803295.0,0.04250245334756499,research_science,"{'research_science': 11, 'gaming': 1, 'entertainment': 1, 'fitness': 1}",247_water bottle_bottle_drinking water_water water
